section,subsection,element,Value
Assessment,Performance statistics,Performance on test data,Calculated the AUC-ROC and max TPR+TNR using the evaluate function in the dismo R package
Assessment,Plausibility check,Response shapes,Response curves were not generated
Assessment,Plausibility check,Expert judgement,NA
Prediction,Prediction output,Prediction unit,Probability of habitat suitability
Prediction,Prediction output,Post-processing,NA
Prediction,Uncertainty quantification,Algorithmic uncertainty,NA
Prediction,Uncertainty quantification,Input data uncertainty,NA
Prediction,Uncertainty quantification,Parameter uncertainty,NA
Prediction,Uncertainty quantification,Scenario uncertainty,NA
Prediction,Uncertainty quantification,Novel environments,NA
